measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,5,1 to 4,294,All causes,211,Mild hearing loss,1,Number,2016,2018683.23296,2522368.99138,1547448.26042
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,5,1 to 4,294,All causes,211,Mild hearing loss,2,Percent,2016,0.0184242422537,0.0230482535535,0.0141289924236
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,5,1 to 4,294,All causes,211,Mild hearing loss,3,Rate,2016,1551.00180956,1937.9954250100002,1188.9408961899999
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,6,5 to 9,294,All causes,211,Mild hearing loss,1,Number,2016,4327391.91789,5747187.30122,3193753.05725
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,6,5 to 9,294,All causes,211,Mild hearing loss,2,Percent,2016,0.0278716296182,0.0371993588192,0.0205180279689
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,6,5 to 9,294,All causes,211,Mild hearing loss,3,Rate,2016,2478.0472265099997,3291.08197784,1828.87777577
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,7,10 to 14,294,All causes,211,Mild hearing loss,1,Number,2016,4294322.52274,5524443.60359,3262242.50385
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,7,10 to 14,294,All causes,211,Mild hearing loss,2,Percent,2016,0.0281312845485,0.0362565010893,0.0213643784682
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,7,10 to 14,294,All causes,211,Mild hearing loss,3,Rate,2016,2549.25907813,3279.5016987,1936.5805139099998
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,8,15 to 19,294,All causes,211,Mild hearing loss,1,Number,2016,4674856.41722,5874524.7437,3644635.22602
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,8,15 to 19,294,All causes,211,Mild hearing loss,2,Percent,2016,0.0289976539999,0.0365314275884,0.0225611688362
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,8,15 to 19,294,All causes,211,Mild hearing loss,3,Rate,2016,2765.30919126,3474.946783,2155.90435081
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,9,20 to 24,294,All causes,211,Mild hearing loss,1,Number,2016,6601155.53652,8591818.01086,4863186.56325
5,Prevalence,44576,World Bank Upper Middle Income,3,Both,9,20 to 24,294,All causes,211,Mild hearing loss,2,Percent,2016,0.0350870175353,0.0456888950825,0.0259207806167
